id,title,description,availability,condition,price,sale_price,link,image_link,brand,google_product_category,identifier_exists
010UpSjAs6rFU1A8iI9K,Fresh N Local Fresh Dill 100gm,"Introduce an aromatic burst to your kitchen with our fresh, locally sourced Dill (Suva), handpicked at peak vibrancy. Revered in Gujarati households, this feathery herb brings a distinct, anise-like warmth to comforting suva-moong dal, hearty undhiyu, and crisp muthias. Rich in vitality, 100g of dill provides approx. 3.4g of protein, 2.1g of dietary fiber, and essential vitamins A and C. Keep its delicate fronds fresh and intensely fragrant by wrapping the unwashed bunch in a damp paper towel before refrigerating.",out of stock,new,40.00 INR,20.00 INR,https://www.freshnlocal.co/product/010UpSjAs6rFU1A8iI9K,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F010UpSjAs6rFU1A8iI9K%2Foriginal.webp?alt=media&token=670d9536-c608-4288-9eb7-b9f18b3b6185,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
042uHJfvXdQM6M7elU04,Fresh N Local Maltamelon Juice,Specialized double melon press bringing together honeydew and red watermelons.,in stock,new,120.00 INR,,https://www.freshnlocal.co/product/042uHJfvXdQM6M7elU04,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782974012723_1000003966.jpg?alt=media&token=0f31e1ce-a0ca-4d3b-8405-d4ccc8337b18,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
07tN6zS0VRMQuBXAWqCI,Fresh N Local Strawberry Smoothie,"Creamy sugar-free blend of hand-picked strawberries, Greek yogurt, and zero-calorie plant nectar.",in stock,new,150.00 INR,,https://www.freshnlocal.co/product/07tN6zS0VRMQuBXAWqCI,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782998105647_1000003972.jpg?alt=media&token=116d1614-75d2-4818-a858-2030152cfbf3,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
0FN8kkvxUZhjf6qw5QJ7,Fresh N Local Watermelon Punch,"Exquisite fusion of crisp watermelon, dynamic mint undertone and fresh lime notes.",in stock,new,80.00 INR,,https://www.freshnlocal.co/product/0FN8kkvxUZhjf6qw5QJ7,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782997529844_1000004019.jpg?alt=media&token=4bd5d5f5-4209-4222-8e40-45e3fd37fc45,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
0FmBtB7ENyc20KOaTB8U,Fresh N Local Fresh Mosambi Juice,"Classic sweet lime nectar, rich in vitamin C, pressed cold right before dispatch.",in stock,new,100.00 INR,,https://www.freshnlocal.co/product/0FmBtB7ENyc20KOaTB8U,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782974070205_1000003964.jpg?alt=media&token=7a0971ce-b056-4ad3-9458-d059ff2ef97a,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
0IaIeh3DfmUW36rRH6Qb,Fresh N Local Mixberry Smoothie,"Fabulous blend of cold blueberries, raspberries, strawberries, and rich avocado base.",in stock,new,200.00 INR,,https://www.freshnlocal.co/product/0IaIeh3DfmUW36rRH6Qb,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1783174026751_1000004112.jpg?alt=media&token=12442c67-3d82-44e3-a2a7-d91c9170c02a,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
0JQjyQsiUpj7RJTGSdOt,Fresh N Local Mango Milkshake,Classic velvety rich milkshake crafted with pure mango pulp and cream.,in stock,new,80.00 INR,,https://www.freshnlocal.co/product/0JQjyQsiUpj7RJTGSdOt,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1783174220492_1000004028.jpg?alt=media&token=67977c2e-8a03-467e-9dde-bf344f69638b,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
0K86CnPdPYUncY5N05uw,Fresh N Local Kiwi Cold Wave,"Slightly tart, vitamin-heavy green kiwi press with sweet apple base tones.",in stock,new,120.00 INR,,https://www.freshnlocal.co/product/0K86CnPdPYUncY5N05uw,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1782974148053_1000003973.jpg?alt=media&token=c4d4e76a-7d7a-4dce-9dd0-136394408c12,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
0OS4LMBCaDp2Jbkn1JTJ,Fresh N Local Peach Ice Tea,Brewed mountain black tea leaves chilled over fresh peach puree chunks and mint.,in stock,new,180.00 INR,,https://www.freshnlocal.co/product/0OS4LMBCaDp2Jbkn1JTJ,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1783175007871_1000004113.jpg?alt=media&token=46118397-0784-4dd9-93e7-905ad0da2790,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
0PbNp2GKQu22XbQBrOSr,Fresh N Local Lotus Leaf 1 Pc,"Embrace ancient culinary traditions with our premium, handpicked Lotus Leaf, a versatile culinary gem that brings a rustic charm to your kitchen. Naturally rich in wellness-promoting antioxidants, it offers approx. 1.5g of protein and 2.8g of dietary fiber per 100g, alongside essential minerals. Perfect for wrapping and steaming spiced paneer or fragrant basmati rice, it infuses a subtle, earthy aroma into traditional Gujarati steamed delicacies. To keep this delicate leaf pliable, store it wrapped in a damp cloth in the refrigerator.",in stock,new,30.00 INR,,https://www.freshnlocal.co/product/0PbNp2GKQu22XbQBrOSr,https://firebasestorage.googleapis.com/v0/b/freshnlocal-4a420.firebasestorage.app/o/products%2F1784454107194_2_Piece_Lotus_Leaf_Photoshoot_202607191505.jpeg?alt=media&token=2d8e30bf-b384-4534-9921-46371f34eab4,Fresh N Local,"Food, Beverages & Tobacco > Food Items",no
